,Quarter,Tm,Detail,SFO,RAM
0,1.0,49ers,Mike Cofer 23 yard field goal,3,0
1,2.0,49ers,Tom Rathman 1 yard rush (pass failed),9,0
2,2.0,49ers,Jerry Rice 60 yard pass from Joe Montana (Mike Cofer kick),16,0
3,2.0,Rams,Derrick Faison 8 yard pass from Jim Everett (Mike Lansford kick),16,7
4,3.0,49ers,Mike Cofer 31 yard field goal,19,7
5,3.0,Rams,Mike Lansford 21 yard field goal,19,10
6,4.0,49ers,Dexter Carter 74 yard rush (Mike Cofer kick),26,10
