,Quarter,Time,Tm,Detail,JAX,BAL
0,1.0,,Jaguars,Jimmy Smith 37 yard pass from Mark Brunell (Mike Hollis kick),7,0
1,1.0,,Ravens,Jermaine Lewis 6 yard pass from Jim Harbaugh (Matt Stover kick),7,7
2,1.0,1:42,Jaguars,Fred Taylor 78 yard pass from Mark Brunell (Mike Hollis kick),14,7
3,2.0,1:42,Jaguars,Fred Taylor 1 yard rush (Mike Hollis kick),21,7
4,2.0,1:42,Jaguars,Daimon Shelton 2 yard rush (Mike Hollis kick),28,7
5,2.0,1:42,Jaguars,Alvis Whitted 24 yard blocked punt return (Mike Hollis kick),35,7
6,2.0,1:42,Jaguars,Donovin Darius 83 yard defensive fumble return (Mike Hollis kick),42,7
7,2.0,0:51,Ravens,Floyd Turner 5 yard pass from Jim Harbaugh (pass failed),42,13
8,4.0,0:51,Jaguars,Mike Hollis 33 yard field goal,45,13
9,4.0,0:51,Ravens,Patrick Johnson 3 yard pass from Jim Harbaugh (pass failed),45,19
