,Quarter,Tm,Detail,BOS,BUF
0,2.0,Patriots,Ron Sellers 10 yard pass from Mike Taliaferro (Gino Cappelletti kick),7,0
1,2.0,Bills,Grant Guthrie 37 yard field goal,7,3
2,3.0,Patriots,Jim Nance 1 yard rush (Gino Cappelletti kick),14,3
3,4.0,Bills,Willie Grate 28 yard pass from James Harris (Grant Guthrie kick),14,10
