,Quarter,Tm,Detail,CLE,RAM
0,1.0,Browns,Dave Jacobs 35 yard field goal,3,0
1,1.0,Rams,Wendell Tyler 2 yard rush (Frank Corral kick),3,7
2,2.0,Rams,Wendell Tyler 1 yard pass from Pat Haden (Frank Corral kick),3,14
3,3.0,Browns,Mike Pruitt 1 yard rush (Dave Jacobs kick),10,14
4,4.0,Rams,Mike Guman 4 yard rush (Frank Corral kick),10,21
5,4.0,Rams,Frank Corral 38 yard field goal,10,24
6,4.0,Rams,Frank Corral 41 yard field goal,10,27
7,4.0,Browns,Ozzie Newsome 38 yard pass from Brian Sipe,16,27
