,Quarter,Tm,Detail,BUF,NYJ
0,2.0,Jets,Al Toon 4 yard pass from Ken O'Brien (Pat Leahy kick),0,7
1,2.0,Bills,Greg Bell 40 yard pass from Jim Kelly (Scott Norwood kick),7,7
2,3.0,Bills,Scott Norwood 23 yard field goal,10,7
3,4.0,Bills,Scott Norwood 32 yard field goal,13,7
4,4.0,Jets,Mickey Shuler 36 yard pass from Ken O'Brien (Pat Leahy kick),13,14
