,Quarter,Tm,Detail,KAN,SDG
0,1.0,Chargers,Ray Wersching 36 yard field goal,0,3
1,2.0,Chiefs,Jan Stenerud 31 yard field goal,3,3
2,2.0,Chiefs,Walter White 60 yard pass from Mike Livingston,9,3
3,3.0,Chargers,Sam Scarber 2 yard pass from Jesse Freitas (Ray Wersching kick),9,10
4,4.0,Chiefs,Jan Stenerud 27 yard field goal,12,10
