,Quarter,Tm,Detail,CLE,NWE
0,2.0,Patriots,Eric Schubert 23 yard field goal,0,3
1,2.0,Patriots,Larry Linne 6 yard pass from Bob Bleier (Eric Schubert kick),0,10
2,3.0,Browns,Brian Franco 28 yard field goal,3,10
3,3.0,Browns,Brian Franco 21 yard field goal,6,10
4,4.0,Browns,Larry Mason 1 yard rush (Chris Kelley pass from Dale Walters),13,10
5,4.0,Browns,Larry Mason 1 yard rush (Brian Franco kick),20,10
