,Quarter,Tm,Detail,NYG,PIT
0,2.0,Giants,Ken Strong 33 yard interception return (Ken Strong kick),7,0
1,3.0,Pirates,"Safety, Strong punt blocked out of end zone by Oehler",7,2
2,4.0,Giants,Harry Newman 5 yard rush (Ken Strong kick),14,2
3,4.0,Giants,Harry Newman 39 yard field goal,17,2
4,4.0,Giants,Dale Burnett 37 yard pass from Harry Newman,23,2
