,Quarter,Time,Tm,Detail,CHI,MIA
0,1,8:38,Dolphins,Nick O'Leary 5 yard pass from Brock Osweiler (Jason Sanders kick),0,7
1,3,13:23,Bears,Trey Burton 9 yard pass from Mitchell Trubisky (Cody Parkey kick),7,7
2,3,11:28,Bears,Allen Robinson 12 yard pass from Mitchell Trubisky (Cody Parkey kick),14,7
3,3,7:50,Dolphins,Jason Sanders 50 yard field goal,14,10
4,3,6:50,Bears,Tarik Cohen 21 yard rush (Cody Parkey kick),21,10
5,3,0:25,Dolphins,Jason Sanders 25 yard field goal,21,13
6,4,9:08,Dolphins,Albert Wilson 43 yard pass from Brock Osweiler (Kenny Stills pass from Brock Osweiler ),21,21
7,4,3:17,Bears,Anthony Miller 29 yard pass from Mitchell Trubisky (Cody Parkey kick),28,21
8,4,3:01,Dolphins,Albert Wilson 75 yard pass from Brock Osweiler (Jason Sanders kick),28,28
9,OT,0:00,Dolphins,Jason Sanders 47 yard field goal,28,31
