,Quarter,Tm,Detail,TAM,ATL
0,2.0,Falcons,Norm Johnson 31 yard field goal,0,3
1,2.0,Falcons,Steve Broussard 5 yard rush (Norm Johnson kick),0,10
2,2.0,Falcons,"Safety, Testaverde fumbled out of end zone",0,12
3,2.0,Falcons,Andre Rison 39 yard pass from Chris Miller (Norm Johnson kick),0,19
4,2.0,Falcons,Andre Rison 12 yard pass from Chris Miller (Norm Johnson kick),0,26
5,2.0,Falcons,Andre Rison 15 yard pass from Chris Miller (Norm Johnson kick),0,33
6,3.0,Falcons,Norm Johnson 49 yard field goal,0,36
7,4.0,Falcons,Oliver Barnett 75 yard defensive fumble return (Norm Johnson kick),0,43
8,4.0,Buccaneers,Lawrence Dawsey 4 yard pass from Jeff Carlson (Steve Christie kick),7,43
