,Quarter,Tm,Detail,GNB,CHI
0,2.0,Packers,Ade Schwammel 18 yard field goal,3,0
1,3.0,Bears,Gene Ronzani 44 yard pass from Bernie Masterson (Jack Manders kick),3,7
2,4.0,Bears,Johnny Sisk 55 yard rush (Jack Manders kick),3,14
3,4.0,Packers,Don Hutson 69 yard pass from Arnie Herber (Ade Schwammel kick),10,14
4,4.0,Packers,Don Hutson 4 yard pass from Arnie Herber (Ernie Smith kick),17,14
