,Quarter,Tm,Detail,EVN,RII
0,1.0,Independents,Jimmy Conzelman 10 yard rush,0,6
1,2.0,Independents,Jimmy Conzelman 1 yard rush (Tillie Voss kick),0,13
2,2.0,Independents,Jimmy Conzelman 2 yard rush (Tillie Voss kick),0,20
3,2.0,Independents,Buck Gavin 15 yard rush (Tillie Voss kick),0,27
4,2.0,Independents,Dutch Lauer 1 yard rush,0,33
5,3.0,Independents,Buck Gavin 1 yard rush (Tillie Voss kick),0,40
6,4.0,Independents,Jimmy Conzelman 22 yard rush (Tillie Voss kick),0,47
7,4.0,Independents,Jimmy Conzelman 8 yard rush,0,53
8,4.0,Independents,Eddie Usher 2 yard rush (Tillie Voss kick),0,60
