,Quarter,Time,Tm,Detail,JAX,NWE
0,1,,Patriots,Ben Coates 5 yard pass from Drew Bledsoe,0,6
1,1,,Patriots,Adam Vinatieri 23 yard field goal,0,9
2,2,,Patriots,Adam Vinatieri 30 yard field goal,0,12
3,2,,Patriots,Curtis Martin 4 yard rush (Adam Vinatieri kick),0,19
4,2,,Patriots,Adam Vinatieri 29 yard field goal,0,22
5,2,,Jaguars,Jimmy Smith 51 yard pass from Mark Brunell (Mike Hollis kick),7,22
6,3,,Jaguars,Andre Rison 41 yard pass from Mark Brunell (Mike Hollis kick),14,22
7,3,,Patriots,Adam Vinatieri 41 yard field goal,14,25
8,3,,Jaguars,Andre Rison 61 yard pass from Mark Brunell (Mark Brunell run),22,25
9,4,,Jaguars,Mike Hollis 27 yard field goal,25,25
10,OT,,Patriots,Adam Vinatieri 40 yard field goal,25,28
