,Quarter,Tm,Detail,PIT,WAS
0,1.0,Redskins,Jerry Smith 17 yard pass from Sonny Jurgensen,0,6
1,2.0,Redskins,Charlie Gogolak 24 yard field goal,0,9
2,2.0,Steelers,Booth Lusteg 24 yard field goal,3,9
3,2.0,Steelers,Roy Jefferson 33 yard pass from Dick Shiner (Booth Lusteg kick),10,9
4,3.0,Redskins,Jerry Smith 49 yard pass from Sonny Jurgensen (Charlie Gogolak kick),10,16
5,4.0,Steelers,Booth Lusteg 30 yard field goal,13,16
