,Quarter,Tm,Detail,NWE,NYJ
0,1,Jets,Pat Leahy 21 yard field goal,0,3
1,1,Jets,Pat Leahy 21 yard field goal,0,6
2,2,Patriots,Tony Franklin 23 yard field goal,3,6
3,3,Jets,Wesley Walker 88 yard pass from Ken O'Brien (Pat Leahy kick),3,13
4,4,Patriots,Cedric Jones 29 yard pass from Tony Eason (Tony Franklin kick),10,13
5,4,Patriots,Tony Franklin 28 yard field goal,13,13
6,OT,Jets,Pat Leahy 32 yard field goal,13,16
