,Quarter,Tm,Detail,BUF,BAL
0,2.0,Bills,John Leypoldt 28 yard field goal,3,0
1,2.0,Colts,Bert Jones 9 yard rush (Toni Linhart kick),3,7
2,2.0,Bills,Neal Craig 55 yard interception return (John Leypoldt kick),10,7
3,2.0,Bills,J.D. Hill 47 yard pass from Joe Ferguson (John Leypoldt kick),17,7
4,3.0,Colts,Lydell Mitchell 6 yard rush (Toni Linhart kick),17,14
5,4.0,Bills,John Leypoldt 33 yard field goal,20,14
6,4.0,Bills,Larry Watkins 1 yard rush (John Leypoldt kick),27,14
