,Quarter,Tm,Detail,GNB,BAL
0,1.0,Colts,Lenny Moore 2 yard pass from Johnny Unitas (Steve Myhra kick),0,7
1,2.0,Colts,Alan Ameche 7 yard rush (Steve Myhra kick),0,14
2,2.0,Colts,Lenny Lyles 4 yard pass from George Shaw (Steve Myhra kick),0,21
3,2.0,Colts,Alan Ameche 5 yard pass from Johnny Unitas (Steve Myhra kick),0,28
4,3.0,Colts,George Shaw 1 yard rush (Steve Myhra kick),0,35
5,3.0,Colts,Jim Mutscheller 17 yard pass from George Shaw (Steve Myhra kick),0,49
6,4.0,Colts,Billy Pricer 1 yard rush (Steve Myhra kick),0,49
7,4.0,Colts,Bert Rechichar 6 yard pass from George Shaw (Steve Myhra kick),0,56
