,Quarter,Tm,Detail,KAN,HOU
0,1.0,Oilers,Earl Campbell 4 yard rush (Toni Fritsch kick),0,7
1,2.0,Chiefs,J.T. Smith 55 yard punt return,6,7
2,2.0,Oilers,Tim Wilson 24 yard pass from Gifford Nielsen (Toni Fritsch kick),6,14
3,2.0,Oilers,Toni Fritsch 28 yard field goal,6,17
4,4.0,Oilers,Toni Fritsch 23 yard field goal,6,20
