,Quarter,Tm,Detail,SDG,PHO
0,1.0,Cardinals,Ernie Jones 4 yard pass from Chris Chandler (Greg Davis kick),0,7
1,1.0,Cardinals,Johnny Johnson 6 yard rush (Greg Davis kick),0,14
2,2.0,Chargers,Anthony Miller 23 yard pass from Stan Humphries (John Carney kick),7,14
3,2.0,Chargers,John Carney 50 yard field goal,10,14
4,3.0,Cardinals,Ricky Proehl 63 yard pass from Chris Chandler (Greg Davis kick),10,21
5,3.0,Chargers,Eric Bieniemy 5 yard rush (John Carney kick),17,21
6,4.0,Chargers,Ronnie Harmon 1 yard rush (John Carney kick),24,21
7,4.0,Chargers,John Carney 43 yard field goal,27,21
