,Quarter,Tm,Detail,MIA,CLE
0,2.0,Dolphins,Garo Yepremian 36 yard field goal,3,0
1,2.0,Browns,Don Cockroft 30 yard field goal,3,3
2,2.0,Browns,Don Cockroft 44 yard field goal,3,6
3,3.0,Dolphins,Larry Csonka 2 yard rush (Garo Yepremian kick),10,6
4,3.0,Browns,Don Cockroft 35 yard field goal,10,9
5,4.0,Dolphins,Larry Csonka 2 yard rush (Garo Yepremian kick),17,9
