,Quarter,Tm,Detail,CHI,FRN
0,1,Bears,Red Grange 51 yard rush (Gardie Grange kick),7,0
1,2,Bears,Red Grange 78 yard rush,13,0
2,3,Yellow Jackets,Mally Nydall 16 yard rush,13,6
