,Quarter,Time,Tm,Detail,ARI,NYG
0,1.0,5:54,Cardinals,Chris Jacke 39 yard field goal,3,0
1,2.0,6:24,Giants,Kerry Collins 1 yard rush (Cary Blanchard kick),3,7
2,2.0,1:51,Cardinals,Chris Jacke 20 yard field goal,6,7
3,2.0,0:02,Giants,Cary Blanchard 24 yard field goal,6,10
4,3.0,11:50,Cardinals,Rob Moore 2 yard pass from Jake Plummer (Chris Jacke kick),13,10
5,4.0,14:55,Cardinals,Johnny McWilliams 9 yard pass from Jake Plummer (Chris Jacke kick),20,10
6,4.0,8:51,Giants,Sean Bennett 1 yard rush (Cary Blanchard kick),20,17
7,4.0,4:16,Cardinals,Mario Bates 2 yard rush (Chris Jacke kick),27,17
8,4.0,1:57,Cardinals,Eric Swann 44 yard interception return (Chris Jacke kick),34,17
9,4.0,0:42,Giants,Tiki Barber 34 yard pass from Kerry Collins (Cary Blanchard kick),34,24
