,Quarter,Tm,Detail,PHI,PIT
0,1.0,Eagles,Ed Matesic 2 yard rush (Hank Reese kick),7,0
1,1.0,Eagles,Hank Reese 40 yard field goal,10,0
2,4.0,Eagles,Joe Carter 58 yard pass from Ed Storm (Hank Reese kick),17,0
3,4.0,Pirates,Heinie Wiesenbaugh 10 yard pass from John Doehring,17,6
