,Quarter,Time,Tm,Detail,IND,BUF
0,2,,Bills,Andre Reed 30 yard pass from Todd Collins (Steve Christie kick),0,7
1,3,,Bills,Steve Christie 42 yard field goal,0,10
2,3,,Colts,Cary Blanchard 44 yard field goal,3,10
3,4,5:08,Colts,Marshall Faulk 1 yard rush (Cary Blanchard kick),10,10
4,4,5:08,Colts,Cary Blanchard 41 yard field goal,13,10
5,4,5:08,Bills,Steve Christie 37 yard field goal,13,13
6,OT,5:08,Bills,Steve Christie 39 yard field goal,13,16
