,Quarter,Tm,Detail,TAM,MIN
0,1.0,Buccaneers,Neil O'Donoghue 42 yard field goal,3,0
1,1.0,Vikings,Ahmad Rashad 4 yard pass from Fran Tarkenton (Rick Danmeier kick),3,7
2,2.0,Buccaneers,Ricky Bell 2 yard rush,9,7
3,3.0,Buccaneers,Morris Owens 5 yard pass from Doug Williams (Neil O'Donoghue kick),16,7
4,4.0,Vikings,Rick Danmeier 47 yard field goal,16,10
