,Quarter,Tm,Detail,NOR,SFO
0,1.0,49ers,Jerry Rice 32 yard pass from Joe Montana (Mike Cofer kick),0,7
1,1.0,Saints,Dalton Hilliard 1 yard rush (Morten Andersen kick),7,7
2,2.0,49ers,Jerry Rice 2 yard pass from Joe Montana (Mike Cofer kick),7,14
3,2.0,Saints,Morten Andersen 39 yard field goal,10,14
4,2.0,49ers,John Taylor 46 yard pass from Joe Montana (Mike Cofer kick),10,21
5,3.0,Saints,Morten Andersen 23 yard field goal,13,21
6,3.0,49ers,Mike Cofer 44 yard field goal,13,24
7,4.0,49ers,Joe Montana 3 yard rush (Mike Cofer kick),13,31
