,Quarter,Tm,Detail,MIN,ATL
0,1.0,Falcons,Tommy McDonald 41 yard pass from Randy Johnson (Wade Traynham kick),0,7
1,2.0,Falcons,Tommy McDonald 10 yard pass from Randy Johnson (Wade Traynham kick),0,14
2,2.0,Vikings,Gene Washington 9 yard pass from Ron Vander Kelen (Fred Cox kick),7,14
3,2.0,Vikings,Fred Cox 21 yard field goal,10,14
4,3.0,Vikings,Fred Cox 40 yard field goal,13,14
5,4.0,Falcons,Tommy Nobis 41 yard interception return (Wade Traynham kick),13,21
6,4.0,Vikings,Bob Grim 7 yard pass from Ron Vander Kelen (Fred Cox kick),20,21
