,Quarter,Tm,Detail,PIT,BKN
0,1.0,Dodgers,Bill Reissig 18 yard field goal,0,3
1,3.0,Pirates,Eggs Manske 27 yard fumble return (Armand Niccolai kick),7,3
2,4.0,Pirates,Tuffy Thompson 5 yard rush (Armand Niccolai kick),14,3
3,4.0,Pirates,Armand Niccolai 18 yard field goal,17,3
