,Quarter,Tm,Detail,PHI,WAS
0,1.0,Redskins,Bob Khayat 34 yard field goal,0,3
1,2.0,Redskins,Billy Ray Barnes 3 yard rush (Bob Khayat kick),0,10
2,2.0,Redskins,Bobby Mitchell 66 yard pass from Norm Snead (Bob Khayat kick),0,17
3,2.0,Eagles,Ron Goodwin 35 yard pass from Sonny Jurgensen,6,17
4,2.0,Eagles,Mike Clark 42 yard field goal,9,17
5,2.0,Eagles,Timmy Brown 3 yard rush (Mike Clark kick),16,17
6,3.0,Eagles,Timmy Brown 36 yard pass from Sonny Jurgensen (Mike Clark kick),23,17
7,3.0,Eagles,Tommy McDonald 34 yard pass from Sonny Jurgensen (Mike Clark kick),30,17
8,3.0,Redskins,Bobby Mitchell 35 yard pass from Norm Snead (Bob Khayat kick),30,24
9,4.0,Eagles,Tommy McDonald 9 yard pass from Sonny Jurgensen (Mike Clark kick),37,24
