,Quarter,Tm,Detail,BOS,BAL
0,1.0,Colts,Jim O'Brien 12 yard field goal,0,3
1,2.0,Patriots,Charlie Gogolak 15 yard field goal,3,3
2,2.0,Colts,Jack Maitland 5 yard pass from Johnny Unitas (Jim O'Brien kick),3,10
3,2.0,Colts,Roy Jefferson 15 yard pass from Johnny Unitas (Jim O'Brien kick),3,17
4,3.0,Colts,Jim O'Brien 48 yard field goal,3,20
5,4.0,Colts,Jimmy Orr 26 yard pass from Johnny Unitas (Jim O'Brien kick),3,27
