,Quarter,Tm,Detail,CIN,RAI
0,1.0,Bengals,Tim McGee 41 yard pass from Boomer Esiason (Jim Breech kick),7,0
1,1.0,Raiders,Tim Brown 5 yard pass from Jay Schroeder (Jeff Jaeger kick),7,7
2,2.0,Raiders,Tim Brown 44 yard pass from Jay Schroeder (Jeff Jaeger kick),7,14
3,2.0,Raiders,Jeff Jaeger 39 yard field goal,7,17
4,3.0,Raiders,Ethan Horton 1 yard pass from Jay Schroeder (Jeff Jaeger kick),7,24
