,Quarter,Time,Tm,Detail,DET,PIT
0,1.0,13:43,Steelers,Antwaan Randle El 81 yard punt return (Jeff Reed kick),0,7
1,1.0,9:43,Lions,Marcus Pollard 11 yard pass from Joey Harrington (Jason Hanson kick),7,7
2,1.0,3:33,Lions,Cory Schlesinger 1 yard pass from Joey Harrington (Jason Hanson kick),14,7
3,1.0,0:21,Steelers,Jerome Bettis 1 yard rush (Jeff Reed kick),14,14
4,2.0,1:11,Steelers,Jerome Bettis 5 yard rush (Jeff Reed kick),14,21
5,3.0,11:00,Steelers,Jerome Bettis 4 yard rush (Jeff Reed kick),14,28
6,3.0,5:32,Lions,Roy Williams 15 yard pass from Joey Harrington (Jason Hanson kick),21,28
7,3.0,0:42,Steelers,Ben Roethlisberger 7 yard rush (Jeff Reed kick),21,35
