,Quarter,Tm,Detail,NYG,TOR
0,1.0,Giants,Ossie Wiberg unknown yard rush (Benny Friedman kick),7,0
1,2.0,Giants,Len Sedbrook 10 yard rush,13,0
2,3.0,Giants,Len Sedbrook 15 yard pass from Red Badgro,19,0
3,3.0,Giants,Dosey Howard 10 yard pass from Benny Friedman (Benny Friedman kick),26,0
4,4.0,Giants,Benny Friedman 10 yard rush,32,0
