,Quarter,Time,Tm,Detail,DEN,DAL
0,2.0,,Cowboys,Daryl Johnston 5 yard pass from Troy Aikman (Chris Boniol kick),0,7
1,2.0,,Cowboys,Troy Aikman 2 yard rush (Chris Boniol kick),0,14
2,2.0,,Broncos,Anthony Miller 11 yard pass from John Elway (Jason Elam kick),7,14
3,3.0,,Cowboys,Jay Novacek 7 yard pass from Troy Aikman (Chris Boniol kick),7,21
4,3.0,,Broncos,Anthony Miller 59 yard pass from John Elway (Jason Elam kick),14,21
5,4.0,,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),14,28
6,4.0,,Cowboys,Chris Boniol 45 yard field goal,14,31
7,4.0,,Broncos,Anthony Miller 3 yard pass from Hugh Millen (Jason Elam kick),21,31
