,Quarter,Tm,Detail,SEA,ATL
0,1.0,Falcons,"Safety, Jordan tackled Stouffer in end zone",0,2
1,2.0,Falcons,Norm Johnson 42 yard field goal,0,5
2,2.0,Falcons,George Thomas 4 yard pass from Chris Miller (Norm Johnson kick),0,12
3,3.0,Falcons,Deion Sanders 48 yard interception return (Norm Johnson kick),0,19
4,3.0,Seahawks,John Kasay 43 yard field goal,3,19
5,4.0,Seahawks,John Kasay 43 yard field goal,6,19
6,4.0,Falcons,Michael Haynes 30 yard pass from Chris Miller (Norm Johnson kick),6,26
7,4.0,Seahawks,Louis Clark 24 yard pass from Dave Krieg (John Kasay kick),13,26
