,Quarter,Tm,Detail,MIA,NOR
0,2.0,Saints,Tyrone Young 16 yard pass from Ken Stabler (Morten Andersen kick),0,7
1,3.0,Saints,Morten Andersen 32 yard field goal,0,10
2,3.0,Saints,Reggie Lewis 27 yard interception return (Morten Andersen kick),0,17
3,4.0,Dolphins,Mark Duper 10 yard pass from Dan Marino (Uwe von Schamann kick),7,17
