,Quarter,Tm,Detail,BKN,PHI
0,1.0,Dodgers,Banks McFadden 75 yard rush (Ace Parker kick),7,0
1,3.0,Dodgers,Pug Manders 2 yard rush (Ace Parker kick),14,0
2,4.0,Eagles,Dick Riffle 4 yard rush (Foster Watkins kick),14,7
3,4.0,Dodgers,Bill Leckonby 98 yard kickoff return (Ralph Kercheval kick),21,7
