,Quarter,Tm,Detail,CIN,MIN
0,2.0,Vikings,Steve Jordan 2 yard pass from Wade Wilson (Benny Ricardo kick),0,7
1,2.0,Bengals,Dan Ross 7 yard pass from Ken Anderson (Jim Breech kick),7,7
2,3.0,Bengals,Larry Kinnebrew 2 yard rush (Jim Breech kick),14,7
3,4.0,Vikings,Tony Galbreath 1 yard rush (Benny Ricardo kick),14,14
4,4.0,Vikings,Tony Galbreath 1 yard rush,14,20
