,Quarter,Tm,Detail,GNB,PHI
0,1,Packers,Chester Marcol 42 yard field goal,3,0
1,2,Eagles,John Sciarra 2 yard rush (Nick Mike-Mayer kick),3,7
2,3,Eagles,Nick Mike-Mayer 27 yard field goal,3,10
