,Quarter,Time,Tm,Detail,PIT,NYG
0,1.0,,Giants,David Treadwell 19 yard field goal,0,3
1,2.0,,Giants,Brad Daluiso 49 yard field goal,0,6
2,2.0,,Steelers,Gary Anderson 29 yard field goal,3,6
3,4.0,,Steelers,Bam Morris 6 yard rush (Gary Anderson kick),10,6
