,Quarter,Tm,Detail,SDG,DET
0,1.0,Lions,Errol Mann 25 yard field goal,0,3
1,1.0,Chargers,Cid Edwards 1 yard rush,6,3
2,1.0,Lions,Errol Mann 41 yard field goal,6,6
3,2.0,Lions,Mel Farr 1 yard rush (Errol Mann kick),6,13
4,3.0,Lions,Mel Farr 2 yard rush (Errol Mann kick),6,20
5,3.0,Lions,Larry Walton 24 yard pass from Greg Landry (Errol Mann kick),6,27
6,4.0,Lions,Greg Landry 5 yard rush (Errol Mann kick),6,34
7,4.0,Chargers,Gary Garrison 15 yard pass from John Hadl (Dennis Partee kick),13,34
8,4.0,Chargers,Gary Garrison 5 yard pass from John Hadl (Dennis Partee kick),20,34
