,Quarter,Tm,Detail,RAM,BAL
0,1.0,Colts,Billy Vessels 4 yard rush (Tom Feamster kick),0,7
1,1.0,Colts,Johnny Unitas 1 yard rush (Tom Feamster kick),0,14
2,1.0,Rams,Tommy Wilson 103 yard kickoff return (Les Richter kick),7,14
3,2.0,Colts,Royce Womble 43 yard pass from Johnny Unitas (Tom Feamster kick),7,21
4,2.0,Colts,Alan Ameche 1 yard rush (Tom Feamster kick),7,28
5,2.0,Colts,Jim Mutscheller 13 yard pass from Johnny Unitas (Tom Feamster kick),7,35
6,2.0,Colts,Jim Mutscheller 43 yard pass from Johnny Unitas (Tom Feamster kick),7,42
7,3.0,Rams,Bob Boyd 58 yard pass from Norm Van Brocklin (Les Richter kick),14,42
8,4.0,Colts,Billy Vessels 4 yard rush (Tom Feamster kick),14,49
9,4.0,Rams,Bob Boyd 9 yard pass from Norm Van Brocklin (Les Richter kick),21,49
10,4.0,Colts,Billy Vessels 19 yard pass from Gary Kerkorian (Tom Feamster kick),21,56
