,Quarter,Time,Tm,Detail,NYG,PHI
0,2.0,1:47,Eagles,DeSean Jackson 19 yard pass from Michael Vick (Alex Henery kick),0,7
1,2.0,0:05,Giants,Lawrence Tynes 25 yard field goal,3,7
2,3.0,9:55,Eagles,Alex Henery 20 yard field goal,3,10
3,3.0,5:28,Giants,Victor Cruz 14 yard pass from Eli Manning (Lawrence Tynes kick),10,10
4,3.0,2:07,Eagles,Alex Henery 48 yard field goal,10,13
5,4.0,9:25,Eagles,Alex Henery 35 yard field goal,10,16
6,4.0,6:45,Giants,Bear Pascoe 6 yard pass from Eli Manning (Lawrence Tynes kick),17,16
7,4.0,1:49,Eagles,Alex Henery 26 yard field goal,17,19
