,Quarter,Tm,Detail,STL,WAS
0,1.0,Cardinals,Pat Fischer 33 yard interception return (Jim Bakken kick),7,0
1,1.0,Redskins,Jim Martin 22 yard field goal,7,3
2,1.0,Cardinals,John David Crow 1 yard rush (Jim Bakken kick),14,3
3,2.0,Redskins,Bobby Mitchell 19 yard pass from Sonny Jurgensen (Jim Martin kick),14,10
4,3.0,Cardinals,Joe Childress 22 yard pass from Charley Johnson (Jim Bakken kick),21,10
5,4.0,Cardinals,"Safety, Izo tackled in end zone by Brumm",23,10
6,4.0,Redskins,Tom Tracy 16 yard rush (Jim Martin kick),23,17
