,Quarter,Time,Tm,Detail,NYJ,NYG
0,1.0,10:58,Giants,Cary Blanchard 41 yard field goal,0,3
1,1.0,8:23,Giants,Joe Montgomery 4 yard rush (Cary Blanchard kick),0,10
2,1.0,5:28,Giants,Amani Toomer 61 yard pass from Kerry Collins (Cary Blanchard kick),0,17
3,2.0,10:08,Jets,Keyshawn Johnson 13 yard pass from Ray Lucas (John Hall kick),7,17
4,2.0,5:09,Giants,Kerry Collins 1 yard rush (Cary Blanchard kick),7,24
5,2.0,0:10,Giants,Cary Blanchard 31 yard field goal,7,27
6,3.0,6:01,Giants,Amani Toomer 9 yard pass from Kerry Collins (Cary Blanchard kick),7,34
7,4.0,14:47,Jets,Eric Green 10 yard pass from Ray Lucas (John Hall kick),14,34
8,4.0,4:14,Jets,Wayne Chrebet 10 yard pass from Ray Lucas (John Hall kick),21,34
9,4.0,3:46,Giants,Amani Toomer 80 yard pass from Kerry Collins (Cary Blanchard kick),21,41
10,4.0,0:03,Jets,Wayne Chrebet 5 yard pass from Ray Lucas (John Hall kick),28,41
