,Quarter,Tm,Detail,MIA,KAN
0,1.0,Chiefs,Robert Holmes 14 yard pass from Mike Livingston (Jan Stenerud kick),0,7
1,2.0,Chiefs,Mike Garrett 9 yard rush (Jan Stenerud kick),0,14
2,2.0,Chiefs,Jan Stenerud 44 yard field goal,0,17
3,3.0,Dolphins,Karl Kremser 37 yard field goal,3,17
4,4.0,Dolphins,Mercury Morris 9 yard rush (Karl Kremser kick),10,17
