,Quarter,Tm,Detail,PRT,SIS
0,2.0,Stapletons,Sammy Stein 10 yard pass from Ken Strong,0,6
1,3.0,Stapletons,Doug Wycoff 2 yard rush (Ken Strong kick),0,13
2,3.0,Spartans,Chuck Bennett 20 yard rush (Tiny Lewis kick),7,13
3,4.0,Spartans,Father Lumpkin 1 yard rush,13,13
