,Quarter,Tm,Detail,RAM,WAS
0,1.0,Redskins,Bob Khayat 30 yard field goal,0,3
1,1.0,Redskins,Fred Dugan 2 yard pass from Norm Snead (Bob Khayat kick),0,10
2,2.0,Rams,Dick Bass 33 yard pass from Zeke Bratkowski (Danny Villanueva kick),7,10
3,2.0,Redskins,Bob Khayat 46 yard field goal,7,13
4,2.0,Redskins,Fred Dugan 25 yard pass from Norm Snead (Bob Khayat kick),7,20
5,4.0,Rams,Red Phillips 55 yard pass from Ron Miller (Danny Villanueva kick),14,20
