,Quarter,Tm,Detail,CHI,MIA
0,1.0,Dolphins,Uwe von Schamann 21 yard field goal,0,3
1,2.0,Bears,Bob Thomas 30 yard field goal,3,3
2,2.0,Bears,Bob Thomas 32 yard field goal,6,3
3,3.0,Dolphins,Delvin Williams 3 yard rush (Uwe von Schamann kick),6,10
4,3.0,Dolphins,Larry Csonka 12 yard rush (Uwe von Schamann kick),6,17
5,3.0,Bears,Bob Thomas 36 yard field goal,9,17
6,4.0,Dolphins,Larry Csonka 9 yard rush (Uwe von Schamann kick),9,24
7,4.0,Dolphins,Larry Csonka 1 yard rush (Uwe von Schamann kick),9,31
8,4.0,Bears,Willie McClendon 1 yard rush (Bob Thomas kick),16,31
