,Quarter,Tm,Detail,BKN,WAS
0,1.0,Dodgers,Merl Condit 37 yard field goal,3,0
1,2.0,Redskins,Cece Hare 33 yard pass from Sammy Baugh,3,6
2,3.0,Redskins,Sammy Baugh 16 yard rush (Andy Farkas kick),3,13
3,4.0,Redskins,Dick Poillon 33 yard field goal,3,16
4,4.0,Redskins,Cece Hare 45 yard fumble return (Dick Poillon kick),3,23
