,Quarter,Tm,Detail,TAM,CIN
0,1.0,Buccaneers,Bruce Hill 3 yard pass from Vinny Testaverde (Donald Igwebuike kick),7,0
1,1.0,Bengals,Rodney Holman 1 yard pass from Boomer Esiason (Jim Breech kick),7,7
2,2.0,Bengals,Eric Ball 1 yard rush (Jim Breech kick),7,14
3,2.0,Buccaneers,"Safety, Esiason ran out of end zone",9,14
4,2.0,Buccaneers,Mark Carrier 17 yard pass from Vinny Testaverde (Donald Igwebuike kick),16,14
5,2.0,Bengals,Eddie Brown 8 yard pass from Boomer Esiason (Jim Breech kick),16,21
6,3.0,Bengals,James Brooks 4 yard rush (Jim Breech kick),16,28
7,3.0,Bengals,Tim McGee 14 yard pass from Boomer Esiason (Jim Breech kick),16,35
8,3.0,Bengals,Rodney Holman 9 yard pass from Boomer Esiason (Jim Breech kick),16,42
9,4.0,Bengals,Eddie Brown 18 yard pass from Boomer Esiason (Jim Breech kick),16,49
10,4.0,Bengals,Tim McGee 46 yard pass from Erik Wilhelm (Jim Breech kick),16,56
11,4.0,Buccaneers,Bruce Hill 2 yard pass from Vinny Testaverde (Donald Igwebuike kick),23,56
