,Quarter,Tm,Detail,SFO,GNB
0,1.0,49ers,Hugh McElhenny 5 yard rush,6,0
1,1.0,49ers,Billy Wilson 30 yard pass from Y.A. Tittle (Gordie Soltau kick),13,0
2,2.0,49ers,Joe Perry 17 yard rush (Gordie Soltau kick),20,0
3,2.0,Packers,Babe Parilli 8 yard rush (Fred Cone kick),20,7
4,3.0,49ers,Y.A. Tittle 1 yard rush (Gordie Soltau kick),27,7
5,3.0,49ers,Gordie Soltau 30 yard field goal,30,7
6,4.0,49ers,Y.A. Tittle 1 yard rush (Gordie Soltau kick),37,7
