,Quarter,Tm,Detail,MIN,RAC
0,2.0,Legion,Hank Gillo unknown yard field goal,0,3
1,3.0,Legion,Hank Gillo 1 yard rush (Hank Gillo kick),0,10
2,3.0,Legion,Rollie Williams 33 yard rush (Hank Gillo kick),0,17
3,3.0,Legion,Hank Gillo 45 yard rush,0,23
