,Quarter,Time,Tm,Detail,SEA,CHI
0,1.0,12:42,Bears,Matt Forte 6 yard rush (Robbie Gould kick),0,7
1,1.0,10:03,Seahawks,Deon Butler 22 yard pass from Matt Hasselbeck (Olindo Mare kick),7,7
2,2.0,14:51,Seahawks,Justin Forsett 9 yard rush (Olindo Mare kick),14,7
3,2.0,11:51,Bears,Robbie Gould 34 yard field goal,14,10
4,2.0,1:10,Bears,Robbie Gould 24 yard field goal,14,13
5,3.0,11:40,Seahawks,"Safety, Jay Cutler sacked in the endzone by Jordan Babineaux.",16,13
6,4.0,13:45,Seahawks,Marshawn Lynch 1 yard rush (Olindo Mare kick),23,13
7,4.0,1:54,Bears,Devin Hester 89 yard punt return (Robbie Gould kick),23,20
