,Quarter,Tm,Detail,OAK,KAN
0,1.0,Raiders,George Blanda 10 yard field goal,3,0
1,1.0,Chiefs,Warren McVea 5 yard rush (Jan Stenerud kick),3,7
2,2.0,Chiefs,Otis Taylor 31 yard pass from Len Dawson (Jan Stenerud kick),3,14
3,2.0,Raiders,George Atkinson 22 yard interception return (George Blanda kick),10,14
4,2.0,Chiefs,Jan Stenerud 14 yard field goal,10,17
5,2.0,Raiders,Warren Wells 22 yard pass from Daryle Lamonica (George Blanda kick),17,17
6,3.0,Raiders,George Blanda 14 yard field goal,20,17
7,3.0,Raiders,Dan Conners 75 yard interception return (George Blanda kick),27,17
8,4.0,Chiefs,Frank Pitts 42 yard pass from Len Dawson (Jan Stenerud kick),27,24
