,Quarter,Tm,Detail,STL,NYG
0,2.0,Cardinals,Neil Lomax 1 yard rush (Neil O'Donoghue kick),7,0
1,3.0,Giants,Ali Haji-Sheikh 34 yard field goal,7,3
2,3.0,Giants,Ali Haji-Sheikh 39 yard field goal,7,6
3,3.0,Giants,Ali Haji-Sheikh 45 yard field goal,7,9
4,4.0,Giants,Lionel Manuel 11 yard pass from Phil Simms (Ali Haji-Sheikh kick),7,16
5,4.0,Cardinals,Neil O'Donoghue 20 yard field goal,10,16
