,Quarter,Time,Tm,Detail,JAX,TEN
0,1,6:21,Titans,Gary Anderson 33 yard field goal,0,3
1,2,11:38,Titans,Justin McCareins 5 yard pass from Steve McNair (Gary Anderson kick),0,10
2,4,7:51,Jaguars,Seth Marler 39 yard field goal,3,10
