,Quarter,Tm,Detail,SDG,DEN
0,1.0,Broncos,Lonnie Perrin 41 yard pass from Craig Morton (Jim Turner kick),0,7
1,1.0,Chargers,Rolf Benirschke 46 yard field goal,3,7
2,2.0,Chargers,Rolf Benirschke 32 yard field goal,6,7
3,3.0,Chargers,Rolf Benirschke 27 yard field goal,9,7
4,4.0,Broncos,Jim Turner 36 yard field goal,9,10
5,4.0,Broncos,Rick Upchurch 19 yard rush (Jim Turner kick),9,17
