,Quarter,Time,Tm,Detail,DEN,BAL
0,1.0,0:56,Ravens,Stephen Hauschka 43 yard field goal,0,3
1,2.0,4:58,Ravens,Stephen Hauschka 35 yard field goal,0,6
2,3.0,14:46,Ravens,Lardarius Webb 95 yard kickoff return (Stephen Hauschka kick),0,13
3,3.0,9:46,Broncos,Knowshon Moreno 1 yard rush (Matt Prater kick),7,13
4,3.0,4:55,Ravens,Stephen Hauschka 31 yard field goal,7,16
5,4.0,13:07,Ravens,Derrick Mason 20 yard pass from Joe Flacco (Stephen Hauschka kick),7,23
6,4.0,1:59,Ravens,Ray Rice 7 yard rush (Stephen Hauschka kick),7,30
