,Quarter,Tm,Detail,BUF,FRN
0,1.0,Yellow Jackets,Ned Wilcox unknown yard rush (Hap Moran kick),0,7
1,1.0,Yellow Jackets,Hap Moran 47 yard field goal,0,10
2,2.0,Yellow Jackets,Hap Moran 48 yard field goal,0,13
3,2.0,Yellow Jackets,Ned Wilcox unknown yard rush (Hap Moran kick),0,20
4,2.0,Yellow Jackets,Ken Mercer 2 yard rush (Hap Moran kick),0,27
5,2.0,Yellow Jackets,Charley Rogers 19 yard rush (Hap Moran kick),0,34
6,4.0,Yellow Jackets,Ken Mercer 20 yard rush,0,40
7,4.0,Yellow Jackets,Bill Donohoe 6 yard rush (Ken Mercer kick),0,47
8,4.0,Yellow Jackets,Bill Donohoe 10 yard rush (Ken Mercer kick),0,54
