,Quarter,Time,Tm,Detail,STL,SFO
0,1.0,8:59,Rams,Jeff Wilkins 44 yard field goal,3,0
1,1.0,2:51,Rams,Jeff Robinson 1 yard pass from Kurt Warner (pass failed),9,0
2,2.0,12:37,Rams,Jeff Wilkins 40 yard field goal,12,0
3,2.0,4:07,49ers,Jeff Garcia 10 yard rush (Jose Cortez kick),12,7
4,2.0,1:15,49ers,Kevan Barlow 1 yard rush,12,13
5,2.0,0:00,49ers,Jose Cortez 52 yard field goal,12,16
6,3.0,7:00,Rams,Az-Zahir Hakim 25 yard pass from Kurt Warner (Jeff Wilkins kick),19,16
7,3.0,1:24,Rams,Jeff Wilkins 25 yard field goal,22,16
8,4.0,14:32,Rams,Isaac Bruce 39 yard pass from Kurt Warner (Ricky Proehl pass from Kurt Warner),30,16
9,4.0,10:31,49ers,Terry Jackson 10 yard pass from Jeff Garcia (Jose Cortez kick),30,23
10,4.0,6:47,49ers,Jose Cortez 33 yard field goal,30,26
