,Quarter,Time,Tm,Detail,DAL,MIN
0,1.0,4:04,Vikings,Sidney Rice 47 yard pass from Brett Favre (Ryan Longwell kick),0,7
1,2.0,12:11,Cowboys,Shaun Suisham 33 yard field goal,3,7
2,2.0,7:23,Vikings,Sidney Rice 16 yard pass from Brett Favre (Ryan Longwell kick),3,14
3,2.0,3:46,Vikings,Ryan Longwell 23 yard field goal,3,17
4,4.0,14:23,Vikings,Ryan Longwell 28 yard field goal,3,20
5,4.0,7:32,Vikings,Sidney Rice 45 yard pass from Brett Favre (Ryan Longwell kick),3,27
6,4.0,1:55,Vikings,Visanthe Shiancoe 11 yard pass from Brett Favre (Ryan Longwell kick),3,34
