,Quarter,Tm,Detail,IND,PHI
0,1.0,Eagles,Mike Quick 6 yard pass from Ron Jaworski (Paul McFadden kick),0,7
1,2.0,Eagles,Paul McFadden 34 yard field goal,0,10
2,2.0,Eagles,Paul McFadden 32 yard field goal,0,13
3,4.0,Colts,Randy McMillan 1 yard rush (Raul Allegre kick),7,13
4,4.0,Eagles,Paul McFadden 33 yard field goal,7,16
