,Quarter,Tm,Detail,NYG,SFO
0,1.0,49ers,Ricky Watters 1 yard rush,0,6
1,1.0,49ers,Mike Cofer 29 yard field goal,0,9
2,2.0,49ers,Ricky Watters 1 yard rush (Mike Cofer kick),0,16
3,2.0,49ers,Ricky Watters 2 yard rush (Mike Cofer kick),0,23
4,2.0,Giants,David Treadwell 25 yard field goal,3,23
5,3.0,49ers,Ricky Watters 6 yard rush (Mike Cofer kick),3,30
6,3.0,49ers,Ricky Watters 2 yard rush (Mike Cofer kick),3,37
7,4.0,49ers,Marc Logan 2 yard rush (Mike Cofer kick),3,44
